,S&P 500
1/1/2000,-0.0561
2/1/2000,-0.0207
3/1/2000,0.1044
4/1/2000,-0.0365
5/1/2000,-0.0259
6/1/2000,0.0322
7/1/2000,-0.0198
8/1/2000,0.0572
9/1/2000,-0.0444
10/1/2000,-0.0093
11/1/2000,-0.0825
12/1/2000,0.0102
1/1/2001,0.0285
2/1/2001,-0.0954
3/1/2001,-0.0586
4/1/2001,0.0727
5/1/2001,0.0026
6/1/2001,-0.0205
7/1/2001,-0.0134
8/1/2001,-0.066
9/1/2001,-0.0804
10/1/2001,0.0163
11/1/2001,0.0747
12/1/2001,0.0081
1/1/2002,-0.0164
2/1/2002,-0.0207
3/1/2002,0.0382
4/1/2002,-0.0626
5/1/2002,-0.0091
6/1/2002,-0.0726
7/1/2002,-0.0793
8/1/2002,0.0049
9/1/2002,-0.1103
10/1/2002,0.0865
11/1/2002,0.057
12/1/2002,-0.0609
1/1/2003,-0.0276
2/1/2003,-0.0161
3/1/2003,0.0071
4/1/2003,0.0815
5/1/2003,0.0516
6/1/2003,0.0104
7/1/2003,0.0164
8/1/2003,0.0187
9/1/2003,-0.0136
10/1/2003,0.0558
11/1/2003,0.0079
12/1/2003,0.0499
1/1/2004,0.0176
2/1/2004,0.0128
3/1/2004,-0.017
4/1/2004,-0.0169
5/1/2004,0.0129
6/1/2004,0.0181
7/1/2004,-0.0346
8/1/2004,0.0027
9/1/2004,0.01
10/1/2004,0.0137
11/1/2004,0.0387
12/1/2004,0.0339
1/1/2005,-0.0264
2/1/2005,0.0188
3/1/2005,-0.0166
4/1/2005,-0.0215
5/1/2005,0.0291
6/1/2005,0.0027
7/1/2005,0.0345
8/1/2005,-0.0123
9/1/2005,0.0104
10/1/2005,-0.0199
11/1/2005,0.0341
12/1/2005,0.003
1/1/2006,0.0229
2/1/2006,-0.0008
3/1/2006,0.0162
4/1/2006,0.0098
5/1/2006,-0.0334
6/1/2006,0.0059
7/1/2006,0.0018
8/1/2006,0.0185
9/1/2006,0.0306
10/1/2006,0.0281
11/1/2006,0.0143
12/1/2006,0.0182
1/1/2007,0.0102
2/1/2007,-0.0236
3/1/2007,0.0158
4/1/2007,0.04
5/1/2007,0.0299
6/1/2007,-0.0114
7/1/2007,-0.0353
8/1/2007,0.0101
9/1/2007,0.0415
10/1/2007,0.011
11/1/2007,-0.0458
12/1/2007,-0.0044
1/1/2008,-0.0662
2/1/2008,-0.035
3/1/2008,-0.0054
4/1/2008,0.0468
5/1/2008,0.0105
6/1/2008,-0.0853
7/1/2008,-0.0109
8/1/2008,0.0122
9/1/2008,-0.0885
10/1/2008,-0.1726
11/1/2008,-0.0744
12/1/2008,0.0053
1/1/2009,-0.0861
2/1/2009,-0.1073
3/1/2009,0.0824
4/1/2009,0.0947
5/1/2009,0.0552
6/1/2009,-0.0027
7/1/2009,0.0754
8/1/2009,0.0358
9/1/2009,0.0326
10/1/2009,-0.019
11/1/2009,0.0598
12/1/2009,0.0146
1/1/2010,-0.0362
2/1/2010,0.0308
3/1/2010,0.056
4/1/2010,0.0157
5/1/2010,-0.0803
6/1/2010,-0.057
7/1/2010,0.0699
8/1/2010,-0.0455
9/1/2010,0.0844
10/1/2010,0.0378
11/1/2010,-0.0002
12/1/2010,0.0623
1/1/2011,0.0235
2/1/2011,0.0339
3/1/2011,-0.0038
4/1/2011,0.0293
5/1/2011,-0.0116
6/1/2011,-0.0212
7/1/2011,-0.0205
8/1/2011,-0.0549
9/1/2011,-0.0753
10/1/2011,0.1095
11/1/2011,-0.0026
12/1/2011,0.0052
1/1/2012,0.0445
2/1/2012,0.043
3/1/2012,0.0284
4/1/2012,-0.0069
5/1/2012,-0.0605
6/1/2012,0.0361
7/1/2012,0.0133
8/1/2012,0.0222
9/1/2012,0.0208
10/1/2012,-0.0192
11/1/2012,0.0055
12/1/2012,0.0039
1/1/2013,0.0516
2/1/2013,0.0134
3/1/2013,0.0327
4/1/2013,0.0189
5/1/2013,0.0231
6/1/2013,-0.0183
7/1/2013,0.0508
8/1/2013,-0.0293
9/1/2013,0.0264
10/1/2013,0.0458
11/1/2013,0.0303
12/1/2013,0.0205
1/1/2014,-0.035
2/1/2014,0.0456
3/1/2014,0.0038
4/1/2014,0.0072
5/1/2014,0.0232
6/1/2014,0.0161
7/1/2014,-0.0142
8/1/2014,0.0399
9/1/2014,-0.018
10/1/2014,0.0234
11/1/2014,0.0272
12/1/2014,-0.0067
1/1/2015,-0.0312
2/1/2015,0.0575
3/1/2015,-0.02
4/1/2015,0.0089
5/1/2015,0.013
6/1/2015,-0.0245
7/1/2015,0.0214
8/1/2015,-0.0616
9/1/2015,-0.0307
10/1/2015,0.0864
11/1/2015,0.0029
12/1/2015,-0.0213
1/1/2016,-0.0518
2/1/2016,-0.0003
3/1/2016,0.0632
4/1/2016,0.0037
5/1/2016,0.0175
6/1/2016,-0.0023
7/1/2016,0.0373
8/1/2016,0.0006
9/1/2016,-0.0041
10/1/2016,-0.0187
11/1/2016,0.0371
12/1/2016,0.0171
1/1/2017,0.0171
2/1/2017,0.0388
3/1/2017,-0.0015
4/1/2017,0.009
5/1/2017,0.0128
6/1/2017,0.0041
7/1/2017,0.0194
8/1/2017,0.0008
9/1/2017,0.0186
10/1/2017,0.0226
11/1/2017,0.0292
12/1/2017,0.0106
1/1/2018,0.056
2/1/2018,-0.0394
3/1/2018,-0.0263
4/1/2018,0.0015
5/1/2018,0.0221
6/1/2018,0.0059
7/1/2018,0.0351
8/1/2018,0.0302
9/1/2018,0.0059
10/1/2018,-0.0713
11/1/2018,0.0174
12/1/2018,-0.0917
1/1/2019,0.0795
2/1/2019,0.0297
3/1/2019,0.019
4/1/2019,0.039
5/1/2019,-0.0665
6/1/2019,0.0697
7/1/2019,0.0129
8/1/2019,-0.0193
9/1/2019,0.0184
10/1/2019,0.0192
11/1/2019,0.0356
12/1/2019,0.0278
1/1/2020,-0.0022
2/1/2020,-0.0847
3/1/2020,-0.1292
4/1/2020,0.1295
5/1/2020,0.0481
6/1/2020,0.0159
7/1/2020,0.0561
8/1/2020,0.0722
9/1/2020,-0.042
10/1/2020,-0.026
11/1/2020,0.1098
12/1/2020,0.0346
1/1/2021,-0.0116
2/1/2021,0.0281
3/1/2021,0.0415
4/1/2021,0.0522
5/1/2021,0.0067
6/1/2021,0.0205
7/1/2021,0.0236
8/1/2021,0.0298
9/1/2021,-0.0493
10/1/2021,0.0696
11/1/2021,-0.0067
12/1/2021,0.0421
1/1/2022,-0.0534
2/1/2022,-0.0302
3/1/2022,0.0373
4/1/2022,-0.089
5/1/2022,0.0009
6/1/2022,-0.0827
7/1/2022,0.0908
8/1/2022,-0.0428
9/1/2022,-0.0897
10/1/2022,0.0782
11/1/2022,0.0511
12/1/2022,-0.054
1/1/2023,0.0593
2/1/2023,-0.028
3/1/2023,0.0408
4/1/2023,0.0123
5/1/2023,0.0005
6/1/2023,0.0826
7/1/2023,0.0285
8/1/2023,-0.0215
9/1/2023,-0.0421
10/1/2023,-0.0265
11/1/2023,0.0866
12/1/2023,0.0418
